Player,Team,Position,Age,Market value,Contract expires,Minutes played,Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,xG per 90,Head goals per 90,Shots per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Penalties taken
A. Bušuladžić,Anorthosis,"RCMF, LCMF",29,600000,2022-05-31,418,Denmark,"Denmark, Bosnia and Herzegovina",right,187,77,no,7.54,8.4,53.85,1.51,57.14,0.3,0,3.86,1.51,0.04,0,0.43,0.43,50,1.72,50,6.46,0.65,0,0.22,37.89,0.22,1.51,47.58,91.4,11.41,83.02,5.81,22.82,44.57,2.58,75,18.93,0.06,0.22,4.74,77.27,0.43,0,0,0.22,4.74,72.73,0
R. Milosavljević,Larissa,"RCMF, AMF",28,600000,2022-06-30,1663,Serbia,Serbia,right,183,73,no,8.17,6.44,48.74,3.57,48.48,1.31,0.11,5.46,2.44,0.08,0,0.97,1.08,15,2.81,65.38,9.09,1.14,1.08,0.65,22.84,0.7,1.84,35.99,78.5,11.15,66.02,6.98,11.69,30.69,4.33,47.5,18.39,0.04,0.65,5.36,63.64,1.46,40.74,0.7,0.11,5.25,65.98,0
J. Neira,OFI,"LCMF, RCMF",32,600000,2025-06-30,1469,Argentina,Argentina,right,179,74,no,7.05,7.29,44.54,3.25,49.06,1.47,0,4.61,2.14,0.28,0,2.45,0.49,25,4.04,53.03,9.07,1.9,1.35,0.61,34.37,1.29,2.08,48.95,83.23,15.19,70.97,6.8,17.4,44.72,3.74,59.02,17.61,0.11,0.86,8.45,75.36,2.21,61.11,1.35,0.12,7.96,80.77,2
M. Mellado,OFI,DMF,28,600000,2024-06-30,2525,Argentina,Argentina,right,176,74,no,11.98,10.41,59.93,3.89,52.29,1.19,0.18,7.54,2.53,0.05,0.04,0.36,0.14,50,1.39,64.1,6.24,0.46,0.25,0.14,29.98,0.21,3.96,49.05,82.92,15.11,69.1,7.13,19.25,43.45,5.45,54.9,17.99,0.03,0.5,6.91,70.62,0.75,23.81,0.29,0.11,7.88,65.16,0
A. Colombino,Larissa,"LCMF, LDMF, RCMF",27,600000,2023-06-30,1728,Uruguay,Uruguay,right,176,74,no,11.98,11.04,58.02,1.88,44.44,0.3,0.26,7.67,2.55,0.05,0,1.2,0.47,22.22,2.34,53.33,6.3,0.36,0.89,0.57,20.05,0.52,1.61,34.9,77.91,14.22,63,4.38,11.25,27.97,6.51,49.6,20.17,0.05,0.31,7.24,59.71,1.25,16.67,0.16,0.1,5.99,74.78,0
A. Nikolias,Larissa,"LCMF, RW, RAMF",26,500000,2022-06-30,1506,Greece,Greece,right,173,64,yes,8.37,7.35,65.04,1.61,37.04,0.24,0.12,4.63,0.9,0.02,0,0.48,1.67,17.86,4.06,64.71,10.52,1.2,1.55,1.37,15.24,0.96,1.73,26.95,79.82,6.69,68.75,4.84,9.56,23.9,1.55,50,16.18,0.03,0.42,2.45,63.41,1.49,40,0.42,0.36,3.23,62.96,0
A. Tsigaras,Panetolikos FC,"RCMF, RB, RDMF",21,500000,2023-06-30,1744,Greece,Greece,right,173,73,no,10.58,9.08,59.09,1.96,42.11,0.93,0.26,5.8,2.22,0.01,0,0.1,0.31,0,1.7,51.52,5.52,0.26,0.88,0.52,16.15,0.21,1.81,27.66,84.51,10.06,71.28,4.9,8.82,25.29,2.12,51.22,17.2,0.01,0.21,3.72,75,0.46,44.44,0.21,0.05,3.51,63.24,0
Javier Matilla,Aris,"LDMF, RDMF, LCMF",32,450000,2022-06-30,1917,Spain,Spain,right,176,72,no,11.17,8.59,59.02,0.99,19.05,0.53,0.28,8.13,0.99,0.13,0,1.36,0.28,33.33,1.17,64,5.07,0.42,1.41,0.28,35.63,0.38,1.97,53.05,90.71,15.73,82.09,6.24,23.52,49.81,2.96,60.32,17.25,0.12,0.94,8.45,88.89,0.66,64.29,0.33,0.09,6.62,79.43,1
I. Kosti,Levadiakos,"LCMF, LAMF",21,450000,2025-06-30,81,Cyprus,Cyprus,right,168,61,yes,8.89,14.44,15.38,0,0,4.29,0,8.57,5.56,0,0,0,0,0,3.33,33.33,8.89,0,0,0,20,0,1.11,27.78,84,5.56,60,5.56,11.11,26.67,1.11,100,17.92,0,0,3.33,100,1.11,100,1.11,0,4.44,75,0
Juan Domínguez,PAS Giannina,"LCMF, LDMF, RCMF",31,400000,2021-06-30,1935,Spain,Spain,right,181,71,no,13.16,10.23,59.55,2.93,50.79,0.53,0.37,9.49,2.28,0.04,0,0.56,0.33,28.57,2.14,58.7,6.93,0.56,1.49,0.84,20.56,0.19,1.26,39.07,87.14,11.95,77.04,5.3,15.95,36.79,1.95,47.62,17.56,0.01,0.19,5.21,75,1.02,50,0.42,0.09,4.93,76.42,0
D. Bejarano,Lamia,"RCMF, RDMF, LCMF",27,400000,2023-06-30,2418,Bolivia,Bolivia,right,182,80,no,10.05,6.59,45.2,5.36,54.17,1.25,0.15,8.28,2.87,0.04,0,0.82,0.52,35.71,0.93,48,3.68,0.45,0.78,0.19,26.13,0.48,1.53,41.5,79.28,15.52,65.95,6.03,15.22,36.18,4.95,50.38,19.98,0.05,0.37,7.26,61.03,1.41,31.58,0.37,0.11,7.33,68.53,0
A. Liasos,PAS Giannina,"RCMF, LCMF",21,400000,2022-06-30,904,Greece,Greece,right,185,75,no,11.65,8.86,51.69,6.37,56.25,0.95,0,8.65,2.39,0.11,0,0.7,0.3,0,1.69,35.29,6.77,0.9,0.3,0.4,14.54,0.2,2.39,30.37,78.03,11.55,67.24,3.19,9.16,28.77,1.39,50,17.22,0.01,0.2,4.38,72.73,0.5,20,0.5,0,4.78,66.67,0
José Luis Valiente,Asteras Tripolis,"LCMF, LDMF",30,400000,2023-06-30,2550,Spain,Spain,right,184,78,no,9.71,8.12,58.26,1.94,52.73,0.78,0.18,5.36,1.8,0.02,0,0.32,0.04,0,0.53,46.67,2.29,0.21,0.32,0.07,25.41,0.11,0.81,38.51,88.45,10.2,75.09,5.08,17.79,34.87,3.6,61.76,18.68,0,0.07,4.73,73.13,0.42,33.33,0.14,0,4.73,62.69,0
J. de Guzmán,OFI,"RCMF, LCMF, AMF",33,400000,2023-06-30,1011,Canada,"Canada, Netherlands",right,173,70,no,6.05,5.07,56.14,3.92,34.09,0.4,0.09,4.4,1.87,0.37,0.09,2.05,1.25,35.71,3.47,51.28,9.79,2.31,1.69,1.69,27.06,1.25,1.87,40.5,84.84,10.59,72.27,9.08,13.09,35.43,3.83,60.47,17.48,0.17,1.07,5.61,76.19,2.31,57.69,0.98,0.62,5.7,76.56,2
V. Slivka,Apollon Smirnis,"LCMF, LDMF, RCMF",26,350000,2022-06-30,2312,Lithuania,Lithuania,right,190,84,no,8.14,5.49,61.7,3.74,66.67,0.21,0.19,6.15,1.36,0.08,0,0.74,1.28,30.3,2.1,61.11,4.48,1.17,0.93,0.82,18.88,0.78,0.9,32.74,76.81,10.39,56.93,5.45,10.35,27.83,3.62,45.16,17.68,0.03,0.31,5.18,52.63,1.25,40.63,0.35,0.39,4.24,64.22,0
E. Kaçe,Aris,"LDMF, AMF, RDMF",27,350000,2022-06-30,303,Albania,Albania,right,171,61,no,11.88,12.18,46.34,3.56,33.33,0.92,0.3,8.77,4.46,0.16,0,0.89,1.49,0,2.38,25,9.21,1.19,0,0.3,34.16,0.3,2.67,47.52,86.25,12.77,72.09,6.83,18.12,43.37,2.67,44.44,16.54,0.05,0.59,3.86,53.85,1.19,50,0.59,0,3.86,76.92,0
P. Staikos,OFI,RCMF,25,350000,2023-06-30,1716,Greece,Greece,right,178,75,no,7.97,8.76,46.11,1.73,21.21,0.62,0.05,5.19,2.15,0.15,0,2.05,1.36,38.46,1.99,63.16,5.56,0.94,1.52,1,23.6,0.84,1.21,36.19,83.33,8.65,70.91,7.34,13.43,32.15,2.73,69.23,17.77,0.08,0.63,4.93,78.72,1.78,55.88,0.47,0.52,4.72,71.11,1
K. Balogiannis,OFI,"LCMF, RCMF",22,350000,2024-06-30,685,Greece,Greece,left,179,71,no,8.28,9.2,61.43,1.58,8.33,0.58,0.13,3.29,1.71,0.09,0,3.02,1.58,41.67,3.81,48.28,8.41,2.1,0.53,1.05,27.33,1.05,0.92,34.82,81.13,9.33,70.42,6.7,11.96,30.61,2.63,55,15.29,0.29,1.71,3.94,70,2.63,55,0.79,0.79,4.47,82.35,0
V. Sakor,OFI,"LCMF, DMF",25,350000,2021-06-30,1265,Norway,Norway,left,185,83,no,11.17,8.4,64.41,3.7,40.38,1.64,0.07,6.68,1.85,0.1,0,1.35,0.57,37.5,3.63,62.75,10.67,1.92,0.5,0.71,18.21,0.36,1.85,28.74,83.91,8.96,77.78,5.98,9.53,26.47,1.71,70.83,16.11,0.03,0.43,3.84,74.07,0.78,72.73,0.5,0.21,3.91,70.91,0
J. Barrientos,Volos NFC,"LCMF, LDMF, RDMF",30,350000,2022-06-30,1698,Uruguay,Uruguay,right,174,67,no,7.69,7.79,51.02,2.17,46.34,0.69,0.05,4.17,1.64,0.18,0,0.9,0.8,46.67,2.33,50,5.51,0.42,0.95,0.48,28.46,0.69,1.22,42.46,86.77,12.83,77.69,7.1,16.27,38.32,3.39,65.63,18.33,0.11,1.06,5.62,79.25,1.17,59.09,0.37,0.37,6.31,78.15,3
D. Rienstra,Volos NFC,"RDMF, RCMF, LDMF",28,350000,2022-06-30,2714,Netherlands,Netherlands,right,174,70,no,9.45,8.89,61.57,3.75,44.25,0.23,0.13,5.19,1.56,0.04,0,0.53,0.53,43.75,0.5,60,1.62,0.43,0.33,0.2,12.04,0.3,0.3,26.26,79.29,10.61,69.06,3.55,7.33,23.74,1.99,48.33,16.03,0.01,0.13,4.28,74.42,0.76,52.17,0.13,0.27,4.38,66.67,0
F. Andoni,Apollon Smirnis,"RCMF, DMF, RDMF",30,350000,,2347,Greece,"Greece, Albania",right,185,78,no,13.88,12.58,57.32,5.1,46.62,1.73,0.31,7.38,3.91,0.18,0.04,0.77,0.19,40,1.15,43.33,5.06,0.84,0.15,0.15,21.86,0.12,2.11,35.51,80.02,14.5,68.52,3.95,12.04,28.8,6.56,53.8,19.43,0.02,0.15,7.02,58.47,0.96,40,0.35,0.12,6.44,67.86,3
F. Castro,PAS Giannina,"LCMF, RDMF, RCMF",29,350000,,1910,Colombia,Colombia,right,183,74,no,10.74,9.61,56.86,2.92,43.55,1.03,0.14,6.67,2.5,0.03,0,0.66,0.14,33.33,1.23,53.85,5.61,0.33,0.28,0.28,20.73,0,1.55,33.41,83.36,10.23,70.05,3.91,14.18,30.35,2.92,51.61,18.83,0.07,0.33,5.7,67.77,0.66,64.29,0.38,0.05,5.28,75.89,0
Borja Fernández,Asteras Tripolis,"RDMF, LDMF, RCMF",25,350000,,379,Spain,Spain,right,177,71,no,4.75,5.46,34.78,1.66,42.86,1.11,0,3.33,1.19,0.1,0,0.47,1.66,42.86,3.09,46.15,8.31,1.19,1.9,0.95,27.31,0.71,2.14,43.69,86.96,9.97,69.05,5.7,20.66,39.89,2.14,33.33,14.07,0.12,0.47,4.04,76.47,1.9,37.5,0.47,0.71,2.85,83.33,0
Ali Ghazal,Smouha,"RDMF, DMF, RCMF",29,300000,2023-06-30,110,Egypt,Egypt,right,189,82,no,8.18,7.36,66.67,1.64,50,0,0.82,7.06,0.82,0.07,0,2.45,0,0,0.82,100,1.64,0.82,0,0,13.09,0,0,22.91,96.43,5.73,85.71,2.45,13.09,20.45,2.45,100,22.52,0.06,0.82,4.09,100,0.82,100,0.82,0,2.45,100,0
J. Arzura,Panetolikos FC,"RDMF, DMF",28,300000,2022-12-31,450,Argentina,"Argentina, Italy",right,176,71,yes,10.2,10.2,43.14,1.6,37.5,1.51,0.2,5.8,3.8,0.01,0,0.4,0.2,0,0.8,75,1.8,0,1.8,0.4,30.6,0.4,0.6,45.4,80.62,16,62.5,3.8,19.4,38.4,6.8,52.94,18.82,0,0,6.2,51.61,0.6,66.67,0.4,0,8.8,65.91,0
N. Vafeas,OFI,"DMF, CB, LCB",24,300000,2022-06-30,834,Greece,Greece,right,187,79,no,9.82,4.75,70.45,3.13,65.52,0.41,0.76,7.88,0.22,0.02,0,0.32,0.22,0,1.29,50,2.05,0.32,1.4,0.65,21.47,0.43,0.65,34.86,81.42,15.11,70,1.94,12.84,30.54,4.1,50,17.26,0,0,3.78,54.29,0.32,33.33,0.22,0.11,5.18,64.58,0
J. Munafo,Asteras Tripolis,"RCMF, RDMF, LCMF",33,300000,2024-06-30,2343,Argentina,Argentina,right,171,63,no,10.49,9.87,56.03,1.77,36.96,1.08,0.12,5.26,2.11,0.08,0,0.77,1.57,46.34,2.07,57.41,5.07,1.15,0.85,0.46,39.83,0.65,1.04,55.51,84.91,16.94,74.83,7.41,21.66,49.4,4.53,61.86,18.48,0.06,0.73,8.26,75.35,2.88,53.33,1,0.69,8.8,76.42,0
P. Salomon,Atromitos,"LCMF, DMF, LDMF",32,300000,2022-06-30,2460,Austria,Austria,right,179,70,no,9.29,7.28,59.3,2.09,57.89,0.42,0.29,5.89,1.5,0.02,0,0.48,0.07,50,1.76,54.17,3.4,0.4,0.37,0.48,21.99,0.51,0.7,36.62,86.51,10.65,73.88,5.45,15.59,33.62,2.93,55,18.7,0,0.15,3.7,65.35,0.48,46.15,0.29,0.04,5.34,60.96,0
A. Tsokanis,Volos NFC,"LDMF, LCMF, DMF",30,300000,2023-06-30,1577,Greece,Greece,left,176,77,no,12.9,7.36,62.02,5.31,50.54,1.75,0.29,8.91,1.6,0.01,0,0.17,0.34,33.33,0.86,53.33,2.34,0.34,0.29,0.11,22.37,0.17,1.43,39.78,79.05,17.41,64.92,3.6,15.01,32.24,7.19,48.41,21.39,0,0,8.9,57.69,0.4,0,0.06,0.06,7.65,83.58,0
S. Ninis,Volos NFC,"RDMF, AMF",31,300000,2022-06-30,1443,Albania,"Albania, Greece",right,173,70,no,8.98,9.23,52.7,3.93,44.44,0.81,0.12,4.54,2.37,0.07,0,1.68,2.25,33.33,3.56,63.16,8.79,0.75,2.06,0.81,36.3,1.25,2.31,53.83,80.65,20.58,73.33,6.05,20.21,44.1,7.48,59.17,21.09,0.15,0.69,12.6,72.77,3.31,37.74,0.69,0.81,11.23,82.78,0
A. Šećerović,Riga,"RDMF, LDMF",29,300000,2021-06-30,345,Bosnia and Herzegovina,Bosnia and Herzegovina,right,180,74,no,4.43,3.39,69.23,1.83,71.43,0.65,0.26,1.96,0.78,0,0,0.52,0.26,100,0.52,50,4.17,0,0,0.26,24.52,1.04,2.35,39.65,84.21,14.61,71.43,7.3,12.78,32.61,6.78,65.38,19.71,0.01,0.26,8.09,67.74,0.78,33.33,0,0.26,8.35,78.13,0
D. N’Dinga,Panetolikos FC,"RCMF, LDMF, RDMF",33,300000,,1054,Congo,Congo,right,181,75,no,7.86,6.4,61.33,6.49,61.84,0,0,5.43,1.45,0.07,0,0.51,0.26,0,0.43,80,2.13,0.43,0.51,0,30.4,0.51,1.37,47.48,82.91,20.32,72.27,4.95,18.61,39.02,8.2,61.46,21.28,0.03,0.34,9.39,63.64,1.71,50,0.85,0,10.84,80.31,0
D. Miloc,Arsenal,"RDMF, RCMF, LCMF",30,300000,2022-12-31,60,Argentina,"Argentina, Italy",right,177,74,no,15,7.5,80,3,0,0,1.5,12.86,0,0,0,0,0,0,3,100,4.5,0,0,0,19.5,0,1.5,39,88.46,16.5,90.91,6,12,36,3,0,20.33,0,0,9,83.33,0,0,0,0,9,100,0
