Player,Team,Position,Age,Market value,Contract expires,Minutes played,Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,xG per 90,Head goals per 90,Shots per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Penalties taken
R. Kitoko,Apollon Smirnis,"RCMF, DMF, LCMF",32,150000,2021-06-30,245,Congo DR,"Congo DR, Belgium",right,177,71,no,8.45,8.45,60.87,3.31,44.44,0,0.37,5,2.57,0,0,0,0.37,0,1.47,50,5.51,0,1.1,0.37,12.12,0.37,1.47,23.51,81.25,8.08,72.73,4.04,6.61,22.78,0.37,0,14.04,0.02,0.37,2.2,83.33,1.1,33.33,0,0,3.31,44.44,0
V. Sourlis,Olympiacos Piraeus,LCMF,18,150000,2024-06-30,206,Greece,Greece,,0,0,no,8.3,9.61,54.55,4.37,30,0,0,5.68,3.06,0,0,0,0,0,2.62,83.33,6.99,0.87,1.75,1.31,47.18,0,2.18,63.79,91.1,13.98,71.88,12.23,29.27,61.17,2.62,50,17.02,0,0,4.37,90,0.44,0,0.87,0,6.55,60,0
G. Kiakos,Volos NFC,"LCMF, LDMF",23,150000,2022-06-30,580,Germany,"Germany, Greece",,182,79,no,13.34,10.24,56.06,3.88,44,1.46,0.31,8.75,3.26,0.11,0,0.47,0,0,2.64,35.29,5.43,0.78,0.31,0.47,12.1,0.93,0.62,23.12,73.83,8.38,72.22,2.79,5.43,21.26,1.86,33.33,16.39,0.01,0.16,2.95,63.16,1.09,28.57,0.31,0,4.34,64.29,0
G. Sournakis,OFI,DMF,21,100000,,24,Greece,Greece,,0,0,no,,,,,,0,,8.57,,,,,,,,,,,,,,,,,,,,,,,,,18.42,,,,,,,,,,,0
M. Iglesias,Asteras Tripolis,"RCMF, RDMF, LDMF",36,100000,,878,Argentina,"Argentina, Italy",right,190,80,no,8,5.64,50.91,4.51,68.18,0.66,0.51,7.62,2.56,0.09,0,1.23,0.51,100,1.13,63.64,2.36,1.13,1.23,0.41,36.7,0,1.44,47.67,85.59,15.27,71.14,5.33,21.22,40.9,6.36,62.9,19.61,0.04,0.31,9.84,72.92,2.05,50,0.51,0.51,9.23,78.89,0
G. Palavandishvili,Lamia,"RCMF, LCMF, RDMF",27,100000,,592,Georgia,Georgia,right,166,59,no,12.62,11.55,55.26,3.04,50,1.19,0,6.95,3.65,0.02,0,0.46,0.15,0,2.43,50,6.99,0.3,0.76,0.76,23.41,0.61,2.89,35.73,82.98,12.77,69.05,3.34,15.51,32.08,3.5,56.52,18.66,0,0,6.23,70.73,1.06,14.29,0.15,0,6.54,72.09,0
E. Bjarnason,Lamia,"LCMF, LDMF, AMF",34,100000,,729,Iceland,Iceland,right,183,78,no,10,11.6,57.45,3.83,48.39,0.42,0.25,3.36,2.59,0.01,0,0.25,0.37,66.67,1.6,69.23,4.69,0.12,0.86,0.49,25.43,0.49,0.99,39.38,84.64,12.47,74.26,6.42,14.69,36.17,2.84,39.13,17.6,0.07,0.62,5.06,70.73,1.23,30,0.25,0.25,5.56,71.11,0
T. Tsiggaras,PAOK,"LCMF, RDMF, RCMF",20,75000,,1016,Greece,Greece,right,172,62,no,9.48,5.76,63.08,2.66,36.67,1.19,0.09,7.57,1.33,0,0,0.27,0.18,0,2.04,47.83,5.94,0.44,1.42,0.53,38.62,0.35,0.97,55.36,90.08,16.21,79.23,10.9,17.98,53.77,1.42,56.25,14.52,0.03,0.53,7.18,81.48,1.42,31.25,0.62,0.09,6.02,72.06,0
M. Kragiopoulos,Apollon Smirnis,LCMF,22,50000,,9,Greece,Greece,,178,69,no,,,,,,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,20.49,,,,,,,,,,,0
A. Chalatsis,Larissa,"LCMF, RCMF",20,50000,2024-06-30,108,Greece,Greece,,175,70,no,7.5,6.67,50,1.67,50,1.58,0,2.37,3.33,0,0,0,0,0,2.5,66.67,5.83,0,1.67,3.33,18.33,0.83,0.83,37.5,77.78,5,66.67,7.5,13.33,35,2.5,66.67,11.31,0.02,0.83,5.83,71.43,0.83,100,0.83,0,8.33,70,0
G. Daktylas,Larissa,RCMF,19,50000,2024-06-30,4,Greece,Greece,unknown,175,0,no,,,,,,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,20.65,,,,,,,,,,,0
A. Triadis,PAS Giannina,"RCMF, LCMF",24,50000,,46,Germany,Germany,right,186,73,no,15.65,15.65,75,0,0,0,0,5,3.91,0,0,0,0,0,0,0,11.74,0,3.91,0,39.13,0,3.91,66.52,79.41,27.39,64.29,0,27.39,62.61,3.91,50,18.5,0,0,17.61,55.56,5.87,33.33,1.96,0,9.78,80,0
G. Ballas,Volos NFC,"LDMF, CF",20,50000,,37,Greece,Greece,,0,0,no,,,,,,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,,,0
G. Kanellopoulos,Asteras Tripolis,"LCMF, RDMF, CF",21,50000,,185,Greece,Greece,,173,67,no,12.65,7.3,86.67,5.84,50,3,0,4.8,2.43,0.1,0,1.46,0.49,0,0.97,50,4.38,0,0.49,0.97,19.95,0,1.46,30.65,85.71,8.27,88.24,7.3,10.22,27.24,2.92,83.33,15.6,0,0,5.35,90.91,0.49,100,0.49,0,2.92,66.67,0
P. Grosdanis,PAS Giannina,"LCMF, CF",19,0,,113,Greece,Greece,right,175,0,no,5.58,7.96,60,3.19,0,0,0,1.25,3.19,0.46,0,2.39,0.8,0,5.58,57.14,15.13,3.19,0,0,23.1,0,0.8,35.04,81.82,14.34,72.22,8.76,6.37,31.86,2.39,100,17.59,0.02,0.8,5.58,71.43,1.59,50,0.8,0,8.76,81.82,0
J. Umbides,Atromitos,"RCMF, RDMF",39,0,,1278,Argentina,Argentina,right,173,65,no,12.18,10,52.11,2.25,40.63,1.75,0.21,7.36,1.76,0.07,0,0.7,2.04,31.03,1.27,50,3.45,0.28,0.92,0.49,29.65,0.42,1.13,45.49,76.93,18.59,67.42,5.35,14.3,37.61,5.92,44.05,18.86,0.12,0.99,8.87,61.11,2.54,47.22,0.7,0.7,8.38,73.95,1
