Player,Team within selected timeframe,Position,Age,Market value,Contract expires,Minutes played,Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,xG per 90,Head goals per 90,Shots per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Penalties taken
A. Roldán,Seattle Sounders,"RWB, RB",24,500000,,581,USA,"USA, Guatemala",right,178,75,no,12.86,6.97,68.89,1.08,71.43,0,0.15,10.06,0.46,0.02,0,0.46,3.41,50,2.17,57.14,4.96,1.08,0.46,0.31,26.64,2.94,0.93,37.64,78.19,11,59.15,8.06,11.31,31.45,2.79,33.33,18.5,0.16,1.08,3.41,50,2.94,52.63,0.62,1.39,7.59,67.35,0
K. Smith,Orlando City,"LB, RB",29,500000,,484,USA,USA,right,186,82,no,10.04,10.23,69.09,2.23,66.67,0.47,0.19,3.31,1.49,0.01,0,0.37,2.05,45.45,1.67,33.33,3.16,0.93,1.3,0.74,34.59,2.42,0.56,46.49,82,19.71,73.58,4.83,15.25,40.17,4.46,58.33,20.18,0.05,0.37,5.39,62.07,2.05,63.64,0.74,0.93,9.3,68,0
M. Navarro,Chicago Fire,"LB, LAMF",22,500000,2022-12-31,145,Venezuela,Venezuela,left,175,76,no,6.83,3.72,66.67,4.97,12.5,0,0.62,7.78,0.62,0,0,0,3.72,50,1.24,50,3.1,2.48,1.24,0,27.93,2.48,3.72,37.24,63.33,16.76,55.56,4.97,9.31,29.79,3.72,16.67,19.44,0.01,0.62,3.72,16.67,3.1,60,1.24,1.86,11.17,61.11,0
W. Francis,Columbus Crew,LB,30,500000,2021-12-31,320,Costa Rica,Costa Rica,left,175,72,no,14.06,9,78.13,2.25,75,0.31,0.28,7.35,0.84,0,0,0,1.41,40,1.41,80,3.09,0.28,0.28,0,25.87,0.56,0.56,32.91,79.49,17.16,72.13,3.09,7.59,27,4.5,56.25,19.48,0.03,0.28,6.75,70.83,0.84,66.67,0,0.56,9.28,69.7,0
J. Bizama,Houston Dynamo,"RWB, RB",26,500000,2021-12-31,95,Chile,Chile,right,178,75,no,6.63,2.84,33.33,2.84,33.33,1,0,5,0,0,0,0,3.79,25,0.95,100,1.89,0,0,0,16.11,2.84,0.95,24.63,61.54,7.58,37.5,5.68,10.42,20.84,0,0,17.95,0,0,0,0,3.79,25,0,0.95,5.68,33.33,0
P. Bonilla,Portland Timbers,RB,21,500000,,264,Venezuela,Venezuela,right,173,70,no,12.61,9.89,44.83,1.7,40,0.77,0.34,8.46,1.36,0.11,0,1.02,2.39,28.57,3.07,55.56,5.8,1.36,2.05,0.34,12.95,0.68,1.7,27.27,63.75,13.64,57.5,4.09,7.16,22.84,2.05,16.67,19.45,0.15,0.68,4.77,85.71,2.73,37.5,0.68,0.68,9.55,60.71,0
C. Bayiha,CF Montréal,"RWB, RB",22,500000,2021-12-31,211,Cameroon,"Cameroon, Canada",right,173,70,no,8.53,8.1,47.37,0.43,0,0.57,0,5.66,2.13,0,0,0,2.13,0,4.27,40,10.24,0.85,3.84,2.13,29,2.99,0.43,41.8,85.71,8.96,90.48,15.78,10.66,38.82,0.85,50,15.72,0,0,2.56,66.67,1.71,0,0,0,4.27,90,0
C. Mafla,New England,LB,28,475000,2021-11-30,55,Colombia,Colombia,left,175,70,no,16.36,11.45,71.43,1.64,100,2,0,8,4.91,0,0,0,0,0,4.91,33.33,11.45,0,3.27,0,34.36,1.64,1.64,47.45,86.21,24.55,80,1.64,18,40.91,6.55,50,20.88,0,0,18,81.82,0,0,0,0,16.36,100,0
D. Nealis,Nashville SC,RB,22,450000,2021-12-31,3,USA,USA,right,180,79,no,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0
J. Morrow,Toronto,"LB, LAMF",33,400000,2021-12-31,126,USA,USA,right,175,75,no,7.86,8.57,66.67,5.71,62.5,0,0,3,0,0,0,0,2.86,0,0.71,100,5,0.71,1.43,0.71,19.29,0.71,1.43,29.29,78.05,12.14,76.47,7.86,6.43,25,1.43,50,14.86,0,0,4.29,100,2.14,0,0,0,7.14,70,0
J. Nelson,Dallas,"LWB, LB",22,400000,,206,USA,USA,left,175,69,no,6.55,4.37,30,1.75,50,0.58,0,6.35,0,0,0,0,4.81,54.55,3.06,57.14,4.81,0.44,1.31,0.87,20.97,3.93,0.44,30.15,79.71,5.68,76.92,7.43,13.11,24.47,0.87,0,19.49,0.04,0.87,1.31,100,5.68,38.46,0,3.06,7.43,52.94,0
H. Afful,Columbus Crew,RB,34,400000,2021-12-31,368,Ghana,Ghana,right,168,58,no,7.09,4.4,50,0.49,0,0,0,6,0.73,0,0,0.24,2.69,0,1.71,42.86,2.69,0.24,1.71,0.73,40.35,1.71,0.49,53.32,77.52,23.48,70.83,6.6,15.9,41.09,10.27,45.24,21.74,0,0,8.56,62.86,2.45,10,0.49,0,13.45,74.55,0
T. Washington,Nashville SC,"LB, LAMF, LW",27,350000,,33,USA,USA,left,178,77,no,,,,,,3.33,,0,,,,,,,,,,,,,,,,,,,,,,,,,19.86,,,,,,,,,,,0
S. Abdul-Salaam,Columbus Crew,"RB, RWB, RAMF",29,325000,2021-12-31,134,USA,USA,right,193,84,no,12.09,5.37,50,3.36,60,0,3.36,10.77,0.67,0,0,0,2.69,0,0,0,0.67,0.67,1.34,0.67,31.57,2.01,0,36.94,78.18,9.4,50,11.42,11.42,32.24,2.01,0,20.31,0.01,0.67,3.36,40,1.34,0,0,0.67,6.72,70,0
A. De John,Atlanta United,RB,30,300000,2021-12-31,23,USA,USA,right,183,80,no,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,16.52,,,,,,,,,,,0
S. Salinas,SJ Earthquakes,"LB, LAMF, RB",34,300000,2021-12-31,180,USA,USA,right,178,68,no,6,7,42.86,3,50,1.62,0,3.24,1.5,0.3,0,1,6,75,8,56.25,10.5,3,11,3.5,32,2.5,0.5,47,82.98,16,75,4.5,21,38.5,3,66.67,18.97,0.45,4,6,83.33,6,83.33,3.5,4.5,13.5,81.48,0
P. Marie,SJ Earthquakes,LB,26,300000,,246,France,France,right,172,63,no,12.8,10.24,50,2.56,71.43,1.64,0.37,9.82,2.2,0.06,0,0.73,0.37,100,2.93,75,6.59,1.1,1.46,0.73,27.8,2.93,2.56,37.68,84.47,13.17,66.67,7.68,8.78,33.29,4.02,54.55,18,0.06,0.73,3.66,80,0.73,50,0,0.37,7.32,65,0
M. Choinière,CF Montréal,RWB,22,300000,2021-12-31,118,Canada,Canada,right,175,68,no,12.2,10.68,50,0,0,1.67,0,5.83,0.76,0,0,0,1.53,50,3.81,80,6.1,0,2.29,0,35.08,2.29,0,42.71,83.93,12.97,82.35,10.68,8.39,40.42,0.76,100,14,0.01,0.76,3.81,60,4.58,66.67,1.53,0.76,6.86,77.78,0
G. Zusi,Sporting KC,RB,34,300000,,131,USA,USA,right,178,72,no,13.74,6.18,88.89,0.69,0,2.65,0,7.94,1.37,0.04,0,1.37,8.93,61.54,2.06,100,4.12,0.69,2.06,1.37,50.15,2.06,0.69,65.27,85.26,23.36,79.41,6.18,30.23,49.47,6.87,80,23.04,0.17,2.75,11.68,76.47,10.31,73.33,2.06,5.5,14.43,90.48,0
A. J. DeLaGarza,New England,LB,33,300000,,42,USA,"USA, Guam",right,175,68,no,,,,,,0,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,28.14,,,,,,,,,,,0
O. Fisher,Los Angeles Galaxy,RB,29,300000,,168,Jamaica,Jamaica,right,175,70,no,9.64,9.64,50,2.14,0,0.86,0.54,6.86,1.07,0.01,0,0.54,2.14,25,3.21,66.67,12.86,0.54,0.54,0.54,30,4.29,2.68,43.93,85.37,12.86,70.83,7.5,13.39,38.57,3.21,33.33,17.14,0,0,4.82,77.78,0,0,0,0.54,3.75,57.14,0
A. Brody,Real Salt Lake,RB,26,250000,,244,USA,USA,right,178,61,no,10.33,7.75,80.95,2.95,0,0,0,5.24,0,0.04,0,0.37,4.06,27.27,5.9,75,9.96,0.74,5.53,4.06,18.81,1.48,1.84,29.51,81.25,6.64,77.78,7.01,9.59,24.71,1.11,33.33,21.24,0.06,1.11,1.84,60,3.32,44.44,1.11,1.11,2.95,100,0
L. Abecasis,SJ Earthquakes,RB,30,250000,2021-12-31,267,Argentina,"Argentina, Italy",right,175,73,no,14.83,13.15,64.1,3.03,33.33,1.13,1.35,9.62,1.69,0.05,0,0.34,5.73,29.41,2.36,57.14,5.39,1.69,2.36,0.67,33.37,3.37,1.01,47.19,79.29,13.15,66.67,9.44,17.53,38.09,3.37,30,24.91,0.37,1.35,5.06,73.33,4.72,35.71,0.34,2.02,10.79,65.63,0
M. Kizza,CF Montréal,LWB,21,250000,2021-12-31,369,Uganda,Uganda,left,0,0,no,8.54,7.56,54.84,1.22,60,0.32,0.24,5.37,1.22,0.09,0,1.22,4.15,29.41,0.49,0,1.22,1.95,1.95,0.98,36.83,2.44,0,42.93,80.11,10.98,71.11,10,14.39,35.85,2.93,25,18.54,0.18,0.98,6.34,57.69,5.61,39.13,0.98,1.22,8.78,88.89,0
N. Powder,Real Salt Lake,RB,22,225000,,10,USA,"USA, Trinidad and Tobago",left,180,73,no,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,22.97,,,,,,,,,,,0
I. Jome,Portland Timbers,LWB,26,200000,2021-12-31,11,Gambia,"Gambia, USA",left,185,73,no,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,22.23,,,,,,,,,,,0
A. Morgan,Real Salt Lake,LB,30,200000,,17,Guyana,Guyana,left,180,75,no,,,,,,0,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,27.23,,,,,,,,,,,0
J. Bornstein,Chicago Fire,LB,36,200000,2021-12-31,335,USA,"USA, Israel",left,176,65,no,11.82,8.33,54.84,6.72,60,1.05,0.27,8.37,1.61,0.04,0,0.27,1.34,60,1.61,66.67,5.37,0.54,1.88,1.88,20.15,2.15,0.54,37.61,80.71,16.93,76.19,5.64,8.87,33.31,2.96,54.55,16.61,0,0,6.18,73.91,1.61,83.33,0.27,0.81,8.33,74.19,0
J. Gurr,Atlanta United,RB,25,175000,2021-12-31,48,England,England,,0,0,no,11.25,11.25,66.67,1.88,0,0,1.88,6.67,0,0,0,0,3.75,0,1.88,100,1.88,0,0,0,30,0,0,33.75,72.22,16.88,77.78,3.75,9.38,22.5,7.5,25,30.03,0,0,13.13,71.43,3.75,0,0,0,13.13,71.43,0
Z. Bailey,Cincinnati,RB,20,175000,2021-12-31,12,USA,USA,right,170,63,no,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,15.36,,,,,,,,,,,0
J. Tolkin,New York RB,LB,18,150000,,7,USA,USA,left,170,61,no,,,,,,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,20.02,,,,,,,,,,,0
J. Brown,Vancouver Whitecaps,RB,22,150000,2021-12-31,33,Jamaica,Jamaica,right,0,0,no,,,,,,2.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,15.32,,,,,,,,,,,0
A. Stanley,Austin FC,LB,21,125000,2021-12-31,23,USA,USA,left,180,78,no,,,,,,0,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,16.23,,,,,,,,,,,0
E. Munjoma,Dallas,"RB, RWB",22,100000,,251,USA,USA,right,178,71,no,9.32,8.25,56.52,1.79,40,0,0,7.22,1.43,0,0,0,1.43,50,1.43,50,2.87,0.36,0.72,0.36,23.67,2.51,0,31.91,83.15,12.91,69.44,6.81,8.61,26.89,3.59,80,19.06,0.04,0.36,2.51,57.14,1.79,40,0.72,0.36,4.3,75,0
S. Guediri,Inter Miami,"LB, LDMF",23,100000,2021-12-31,109,USA,USA,,0,0,no,11.56,11.56,42.86,0.83,100,0,0,8.57,1.65,0,0,0,1.65,50,0.83,100,3.3,0,0,0.83,24.77,2.48,0.83,40.46,77.55,14.04,64.71,8.26,9.91,32.2,6.61,50,14.99,0,0,3.3,50,1.65,50,0,0,9.08,45.45,0
Miguel Berry,Columbus Crew,LWB,23,100000,2021-12-31,4,Spain,Spain,,190,0,no,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,,,,,,0
Z. Bassong,CF Montréal,"LB, LWB, RWB",22,100000,2022-12-31,126,Canada,"Canada, Belgium",left,179,76,no,13.57,6.43,66.67,2.14,66.67,0,0.71,13,0.71,0,0,0,1.43,0,5.71,62.5,10.71,2.14,3.57,0,25,0.71,0.71,37.86,79.25,12.86,72.22,7.86,10.71,33.57,2.86,0,19.2,0,0,5,85.71,2.14,33.33,1.43,0,8.57,66.67,0
T. Gray,New York City,RB,18,50000,,10,USA,USA,right,173,68,no,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,18.52,,,,,,,,,,,0
A. Johnston,Nashville SC,RB,22,0,,484,Canada,Canada,right,180,77,no,10.04,9.11,67.35,1.67,77.78,0.94,0.19,3.98,1.49,0,0,0.19,4.09,45.45,1.49,100,2.05,0.56,1.49,0.56,30.87,1.49,0.56,40.35,86.64,13.76,82.43,7.62,14.5,33.66,2.79,40,21.64,0.1,0.56,6.32,79.41,3.9,66.67,0.93,2.23,9.86,81.13,0
