Player,Team within selected timeframe,Position,Age,Market value,Contract expires,Minutes played,Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,xG per 90,Head goals per 90,Shots per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Penalties taken
J. Lindsey,Sporting KC,RB,21,1000000,2021-12-31,445,USA,USA,right,176,71,no,11.53,6.47,62.5,3.64,77.78,1,0.2,8.25,0.61,0,0,0.2,4.45,40.91,1.62,50,3.84,0.61,3.03,2.02,25.89,2.63,0.2,41.26,77.94,18,76.4,7.48,8.49,35.19,2.02,50,18.56,0.09,0.81,6.47,84.38,3.24,56.25,0.2,1.82,12.13,75,0
Auro,Toronto,"LB, LDMF",25,1000000,,419,Brazil,Brazil,right,168,62,no,10.53,7.73,69.44,1.29,0,1.03,0,5.17,0.43,0.01,0,0.43,1.07,60,2.15,50,4.08,0.86,1.93,0.64,32,1.07,0.86,45.97,82.24,19.33,75.56,5.16,12.67,40.81,4.08,52.63,18.01,0.05,1.07,7.95,75.68,1.72,75,0.64,0.64,9.67,77.78,0
M. Farfán,Los Angeles FC,"RB, LWB, LB",22,1000000,,308,USA,"USA, Mexico",left,175,68,no,13.15,10.52,69.44,3.8,38.46,1.71,0,6.86,0.29,0,0,0.29,3.8,15.38,3.51,50,6.14,1.46,1.17,1.17,28.34,2.34,0.29,40.03,79.56,14.32,79.59,6.14,14.32,34.19,2.34,37.5,18.39,0,0.29,2.92,60,4.09,28.57,0.58,0.29,4.68,75,0
Bruno Gaspar,Vancouver Whitecaps,RB,28,1000000,2023-06-30,110,Portugal,"Portugal, Angola",right,176,70,yes,12.27,16.36,65,1.64,0,1.07,0,1.07,3.27,0.05,0,0.82,2.45,0,4.91,33.33,8.18,0.82,0.82,1.64,29.45,3.27,1.64,37.64,76.09,16.36,70,9.82,6.55,31.09,4.09,60,17.28,0,0,4.09,100,0,0,0,0,10.64,61.54,0
J. Villafaña,Los Angeles Galaxy,LB,31,1000000,,582,USA,"USA, Mexico",left,175,68,no,9.51,5.12,60.71,1.65,22.22,1.54,0.18,6.18,0.73,0.01,0,0.18,2.01,36.36,0.91,80,3.66,0.55,0.73,0.73,31.46,2.01,0.91,39.51,78.7,14.82,67.9,6.22,12.8,33.11,4.39,50,19.59,0.05,0.18,5.3,55.17,1.46,50,0.18,0.73,7.87,62.79,0
B. Sweat,Austin FC,LB,29,950000,,93,USA,USA,left,185,81,no,4.84,4.84,80,2.9,66.67,0,0,1.15,0.97,0,0,0,2.9,66.67,2.9,33.33,5.81,0.97,0,0.97,39.68,4.84,0,43.55,82.22,20.32,71.43,7.74,11.61,36.77,3.87,75,20.39,0.07,0.97,4.84,80,1.94,100,0,1.94,11.61,91.67,0
A. Lundqvist,Houston Dynamo,"LB, RB, LWB",27,950000,,566,Sweden,Sweden,left,175,65,no,9.86,9.38,64.41,2.07,46.15,0.37,0,4.05,1.11,0.02,0,0.32,1.59,30,0.32,0,2.07,0.16,0.8,0.8,24.17,0.64,0.48,35.62,75.89,18.29,69.57,5.88,7.95,28.94,5.25,36.36,21.59,0.02,0.16,7,56.82,1.43,22.22,0.16,0.32,9.86,74.19,0
B. Lennon,Atlanta United,"RB, RW",23,850000,2023-12-31,438,USA,USA,right,177,70,no,7.81,8.63,64.29,1.64,37.5,0,0.41,3.71,0.21,0.02,0,0.62,4.73,43.48,2.26,54.55,4.52,1.23,1.44,1.23,32.67,3.9,1.03,43.77,84.98,12.95,77.78,10.89,15.62,36.37,3.49,70.59,20.52,0.23,1.64,3.9,84.21,4.32,52.38,0.82,1.44,8.84,74.42,0
G. Thórarinsson,New York City,"LWB, LB",29,800000,,372,Iceland,Iceland,left,183,75,no,8.95,7.02,58.62,0.97,25,0,0,7.5,1.45,0.04,0,0.97,3.87,56.25,1.21,20,2.9,1.21,2.42,0.48,39.19,4.35,0,48.39,87,14.76,75.41,11.37,15,42.34,2.18,66.67,17.5,0.26,1.94,4.11,82.35,4.35,61.11,1.69,2.42,9.92,80.49,0
D. Toia,Real Salt Lake,LB,28,800000,,366,USA,USA,left,173,72,no,11.31,8.11,54.55,2.95,41.67,0.31,0.25,8.44,1.23,0.01,0,0.74,1.97,0,1.72,28.57,2.95,0.49,0.25,0,25.08,0.98,0.49,33.93,73.91,13.03,62.26,7.13,9.84,27.05,4.92,30,23.53,0,0,5.41,63.64,2.46,20,0.74,0,6.89,60.71,0
